episode,timestep,reward
1,2000,-999.0
3,4000,-998.0
5,6000,-998.5
7,8000,-994.0
9,10000,-999.5
11,12000,-995.0
13,14000,-999.5
15,16000,-1000.0
17,18000,-1000.0
19,20000,-1000.0
21,22000,-1000.0
23,24000,-999.5
25,26000,-985.0
27,28000,-1000.0
29,30000,-996.5
31,32000,-995.5
33,34000,-999.5
35,36000,-992.5
37,38000,-999.0
39,40000,-1000.0
41,42000,-1000.0
43,44000,-998.0
45,46000,-1000.0
47,48000,-1000.0
49,50000,-997.0
51,52000,-1000.0
53,54000,-997.0
55,56000,-973.5
57,58000,-1000.0
59,60000,-1000.0
61,62000,-999.0
63,64000,-999.0
65,66000,-991.5
67,68000,-998.0
69,70000,-996.0
71,72000,-993.5
73,74000,-1000.0
75,76000,-993.0
77,78000,-1000.0
79,80000,-982.0
81,82000,-1000.0
83,84000,-999.5
85,86000,-979.0
87,88000,-999.5
89,90000,-982.0
91,92000,-1000.0
93,94000,-976.0
95,96000,-995.5
97,98000,-987.0
99,100000,-999.5
101,102000,-999.0
103,104000,-996.5
105,106000,-995.5
107,108000,-1000.0
109,110000,-982.5
111,112000,-998.0
113,114000,-998.0
115,116000,-987.0
117,118000,-999.5
119,120000,-998.0
121,122000,-999.5
123,124000,-991.0
125,126000,-999.0
127,128000,-990.5
129,130000,-992.0
131,132000,-996.0
133,134000,-998.0
135,136000,-990.5
137,138000,-999.5
139,140000,-977.0
141,142000,-974.0
143,144000,-985.5
145,146000,-1000.0
147,148000,-996.0
149,150000,-980.5
151,152000,-973.0
153,154000,-994.0
155,156000,-983.5
157,158000,-1000.0
159,160000,-987.0
161,162000,-999.5
163,164000,-997.0
165,166000,-999.5
167,168000,-1000.0
169,170000,-999.5
171,172000,-999.0
173,174000,-999.5
175,176000,-998.0
177,178000,-989.5
179,180000,-987.0
181,182000,-1000.0
183,184000,-986.0
185,186000,-1000.0
187,188000,-984.5
189,190000,-996.0
191,192000,-997.0
193,194000,-999.0
195,196000,-998.5
197,198000,-999.5
199,200000,-996.5
201,202000,-999.5
203,204000,-1000.0
205,206000,-1000.0
207,208000,-992.0
209,210000,-1000.0
211,212000,-999.0
213,214000,-999.0
215,216000,-1000.0
217,218000,-999.0
219,220000,-999.5
221,222000,-998.0
223,224000,-971.0
225,226000,-1000.0
227,228000,-998.0
229,230000,-1000.0
231,232000,-962.5
233,234000,-1000.0
235,236000,-999.0
237,238000,-1000.0
239,240000,-967.0
241,242000,-1000.0
243,244000,-996.5
245,246000,-1000.0
247,248000,-1000.0
249,250000,-999.0
251,252000,-999.5
253,254000,-1000.0
