episode,timestep,reward
1,2000,-987.0
3,4000,-999.0
5,6000,-995.0
7,8000,-998.0
9,10000,-995.0
11,12000,-993.5
13,14000,-1000.0
15,16000,-998.5
17,18000,-999.5
19,20000,-999.5
21,22000,-999.5
23,24000,-1000.0
25,26000,-1000.0
27,28000,-994.5
29,30000,-998.0
31,32000,-997.0
33,34000,-999.5
35,36000,-978.5
37,38000,-990.5
39,40000,-999.5
41,42000,-1000.0
43,44000,-998.0
45,46000,-999.0
47,48000,-992.0
49,50000,-997.0
51,52000,-995.0
53,54000,-998.0
55,56000,-982.5
57,58000,-949.5
59,60000,-956.5
61,62000,-978.5
63,64000,-995.0
65,66000,-967.0
67,68000,-994.0
69,70000,-997.5
71,72000,-995.5
73,74000,-980.0
75,76000,-991.5
77,78000,-946.0
79,80000,-943.5
82,82000,-666.6667
84,84000,-978.0
87,86000,-653.6667
89,88000,-995.0
91,90000,-999.5
93,92000,-984.0
95,94000,-994.0
97,96000,-992.5
99,98000,-979.5
101,100000,-982.5
103,102000,-990.0
105,104000,-996.0
107,106000,-998.5
109,108000,-986.5
111,110000,-969.0
113,112000,-999.0
115,114000,-982.0
117,116000,-993.0
119,118000,-979.5
121,120000,-988.5
124,122000,-656.3333
126,124000,-985.5
128,126000,-970.5
130,128000,-973.0
132,130000,-1000.0
134,132000,-999.0
137,134000,-630.6667
139,136000,-998.5
141,138000,-999.0
144,140000,-670.0
146,142000,-999.0
