episode,timestep,reward
1,2000,0.0
3,4000,0.0
5,6000,-489.0
7,8000,-956.5
9,10000,-927.0
11,12000,-855.5
13,14000,-909.5
15,16000,-626.0
17,18000,-633.5
19,20000,-683.0
21,22000,-473.5
23,24000,-316.0
25,26000,-406.0
27,28000,-177.5
29,30000,-48.0
31,32000,-74.5
33,34000,-414.0
35,36000,-557.0
37,38000,-82.5
39,40000,-40.0
41,42000,-47.0
43,44000,-125.5
45,46000,-25.5
47,48000,-38.5
49,50000,-19.0
51,52000,-21.0
53,54000,-10.0
55,56000,-5.5
57,58000,-10.5
59,60000,-3.5
61,62000,-66.5
63,64000,-3.5
65,66000,-1.0
67,68000,-2.0
69,70000,-2.5
71,72000,-500.0
73,74000,-999.0
76,76000,-334.3333
78,78000,-500.5
80,80000,-500.0
82,82000,-999.5
84,84000,-1000.0
86,86000,-999.5
88,88000,-558.5
90,90000,-1000.0
92,92000,-501.5
94,94000,-501.5
96,96000,-501.5
98,98000,-504.5
100,100000,-5.5
102,102000,-506.0
104,104000,-1000.0
106,106000,-187.0
109,108000,-154.6667
111,110000,-12.0
113,112000,-10.5
115,114000,-503.0
117,116000,-6.5
119,118000,-671.5
121,120000,-259.5
123,122000,-502.0
125,124000,-501.5
127,126000,-5.0
129,128000,-4.0
131,130000,-4.5
133,132000,-182.0
135,134000,-4.0
137,136000,-5.0
139,138000,-502.0
141,140000,-3.5
143,142000,-2.0
145,144000,-3.0
147,146000,-2.5
149,148000,-500.0
151,150000,-2.5
153,152000,-2.0
155,154000,-2.5
157,156000,-502.0
159,158000,-2.5
161,160000,-498.0
163,162000,0.0
165,164000,-2.5
167,166000,-331.0
169,168000,-837.0
171,170000,-492.0
174,172000,-334.3333
176,174000,-790.0
178,176000,-742.5
180,178000,-500.5
182,180000,-3.0
184,182000,-845.0
186,184000,-1.0
188,186000,-2.5
190,188000,-190.0
193,190000,-301.0
195,192000,-260.0
198,194000,-296.0
201,196000,-389.0
203,198000,-433.5
208,200000,-156.0
211,202000,-235.3333
213,204000,-98.5
215,206000,-301.5
217,208000,-1.0
220,210000,-410.0
222,212000,-689.0
224,214000,-401.5
226,216000,-466.0
228,218000,-260.5
230,220000,-626.5
232,222000,-419.5
234,224000,-358.5
236,226000,-7.0
238,228000,-8.5
240,230000,-7.0
242,232000,-488.0
244,234000,-197.5
246,236000,-8.0
248,238000,-467.5
251,240000,-2.3333
253,242000,-5.5
255,244000,-6.0
257,246000,-1.0
259,248000,-3.0
261,250000,-139.5
263,252000,-2.5
265,254000,-2.5
267,256000,-327.5
269,258000,-2.0
271,260000,-1.0
273,262000,-98.5
275,264000,-1.5
277,266000,-15.5
280,268000,-180.0
282,270000,-228.5
284,272000,-1.0
286,274000,-957.0
288,276000,-334.0
290,278000,-226.5
292,280000,-1.5
294,282000,-97.5
296,284000,-419.5
298,286000,-129.0
300,288000,-639.5
302,290000,-3.0
304,292000,-3.0
306,294000,-200.0
308,296000,-405.0
310,298000,-1.5
312,300000,-0.5
