episode,timestep,reward
1,2000,-992.0
3,4000,-1000.0
5,6000,-986.0
7,8000,-978.5
9,10000,-999.5
11,12000,-974.5
13,14000,-999.0
15,16000,-992.0
17,18000,-999.5
19,20000,-986.0
21,22000,-985.0
23,24000,-996.0
25,26000,-999.5
27,28000,-998.5
29,30000,-997.5
31,32000,-991.5
33,34000,-1000.0
35,36000,-989.5
37,38000,-995.0
39,40000,-995.5
41,42000,-997.5
43,44000,-998.5
45,46000,-989.5
47,48000,-996.0
49,50000,-999.5
51,52000,-987.5
53,54000,-988.0
55,56000,-994.0
57,58000,-999.5
59,60000,-987.0
61,62000,-997.0
63,64000,-998.0
65,66000,-968.0
67,68000,-998.5
69,70000,-998.0
71,72000,-998.5
73,74000,-1000.0
75,76000,-999.5
77,78000,-999.5
79,80000,-998.0
81,82000,-999.0
83,84000,-995.5
85,86000,-998.0
87,88000,-999.5
89,90000,-998.5
91,92000,-999.5
93,94000,-995.0
95,96000,-998.0
97,98000,-998.5
99,100000,-988.0
101,102000,-985.0
103,104000,-996.5
105,106000,-996.0
107,108000,-978.0
109,110000,-998.5
111,112000,-993.0
113,114000,-999.0
115,116000,-999.0
117,118000,-1000.0
119,120000,-1000.0
121,122000,-977.5
123,124000,-999.5
125,126000,-1000.0
127,128000,-1000.0
129,130000,-975.0
131,132000,-1000.0
133,134000,-999.5
135,136000,-999.5
137,138000,-999.5
139,140000,-999.0
141,142000,-999.0
143,144000,-999.0
145,146000,-998.5
147,148000,-1000.0
149,150000,-997.0
151,152000,-1000.0
153,154000,-1000.0
155,156000,-1000.0
157,158000,-1000.0
159,160000,-999.5
161,162000,-995.5
163,164000,-999.0
165,166000,-998.5
167,168000,-995.5
169,170000,-1000.0
171,172000,-998.5
173,174000,-1000.0
175,176000,-992.5
177,178000,-1000.0
179,180000,-999.0
181,182000,-1000.0
183,184000,-994.5
185,186000,-995.5
187,188000,-1000.0
189,190000,-994.5
191,192000,-1000.0
193,194000,-997.5
195,196000,-998.0
197,198000,-996.0
199,200000,-999.5
201,202000,-991.0
203,204000,-996.5
205,206000,-999.5
207,208000,-999.5
209,210000,-994.0
211,212000,-978.0
213,214000,-998.5
215,216000,-986.5
217,218000,-984.0
219,220000,-969.0
221,222000,-998.0
223,224000,-986.5
225,226000,-981.5
227,228000,-987.0
229,230000,-996.0
231,232000,-988.0
233,234000,-1000.0
235,236000,-1000.0
237,238000,-1000.0
239,240000,-991.5
241,242000,-994.5
243,244000,-1000.0
245,246000,-997.0
247,248000,-997.5
249,250000,-1000.0
251,252000,-997.0
253,254000,-997.5
255,256000,-1000.0
257,258000,-984.5
259,260000,-985.0
261,262000,-985.0
263,264000,-998.5
265,266000,-975.5
267,268000,-997.0
269,270000,-971.0
271,272000,-985.5
273,274000,-995.0
275,276000,-999.5
277,278000,-965.0
279,280000,-998.5
281,282000,-970.5
283,284000,-999.0
285,286000,-998.0
287,288000,-975.5
289,290000,-992.5
291,292000,-998.5
293,294000,-974.5
295,296000,-991.0
297,298000,-999.5
299,300000,-998.0
301,302000,-991.0
303,304000,-999.0
305,306000,-986.0
307,308000,-969.0
309,310000,-977.0
311,312000,-965.0
313,314000,-995.0
315,316000,-988.0
317,318000,-996.0
319,320000,-998.5
321,322000,-984.5
323,324000,-999.0
325,326000,-992.0
327,328000,-997.5
329,330000,-994.0
331,332000,-994.0
