episode,timestep,reward
1,2000,0.0
3,4000,0.0
5,6000,-1.5
7,8000,-1.5
9,10000,-2.0
11,12000,-2.0
13,14000,-284.5
15,16000,0.0
17,18000,0.0
19,20000,0.0
21,22000,-1.0
23,24000,-0.5
25,26000,-1.0
27,28000,-0.5
29,30000,-1.0
31,32000,0.0
33,34000,-1.5
35,36000,0.0
37,38000,-1.5
39,40000,-499.0
41,42000,-2.5
43,44000,-1.5
45,46000,-338.0
50,48000,-101.8
53,50000,-386.6667
56,52000,-372.0
58,54000,-65.0
60,56000,-758.0
62,58000,-2.0
64,60000,-4.5
66,62000,-2.0
68,64000,-3.5
70,66000,-260.0
73,68000,-2.3333
75,70000,-6.5
77,72000,-1.5
79,74000,-2.5
82,76000,-68.0
84,78000,-1.5
86,80000,-0.5
88,82000,-92.0
91,84000,-1.6667
93,86000,-0.5
95,88000,-382.5
97,90000,-2.0
99,92000,-1.0
101,94000,-215.5
103,96000,-5.5
105,98000,-466.5
107,100000,-636.5
109,102000,-196.0
111,104000,-534.0
113,106000,-176.5
115,108000,-2.5
117,110000,-4.5
119,112000,-7.5
121,114000,-3.5
123,116000,-4.5
125,118000,-3.0
127,120000,-1.0
129,122000,-1.5
131,124000,-0.5
133,126000,-2.5
135,128000,-3.5
137,130000,-0.5
139,132000,-1.5
142,134000,0.0
144,136000,-0.5
146,138000,-1.0
148,140000,-97.0
150,142000,-1.0
152,144000,-2.5
155,146000,-70.0
157,148000,-1.0
159,150000,-1.0
161,152000,-2.0
163,154000,-1.5
165,156000,0.0
167,158000,0.0
169,160000,0.0
171,162000,-202.5
173,164000,-0.5
175,166000,-1.0
177,168000,-0.5
179,170000,-2.0
181,172000,-1.0
183,174000,0.0
185,176000,-1.0
187,178000,-1.5
189,180000,0.0
191,182000,0.0
193,184000,-1.0
195,186000,-244.0
197,188000,-0.5
199,190000,-0.5
201,192000,0.0
203,194000,-1.0
205,196000,-1.5
207,198000,-0.5
209,200000,-297.0
211,202000,-28.0
