episode,timestep,reward
2,2000,0.5
4,4000,-2.0
6,6000,-1.0
8,8000,-2.0
10,10000,-0.5
12,12000,0.5
14,14000,0.0
17,16000,0.0
19,18000,-0.5
21,20000,-0.5
24,22000,0.3333
26,24000,-0.5
28,26000,0.5
31,28000,-1.0
35,30000,0.0
37,32000,-0.5
40,34000,-1.0
43,36000,-0.6667
46,38000,0.6667
52,40000,0.5
55,42000,1.0
65,44000,0.7
79,46000,0.9286
88,48000,0.3333
100,50000,0.5833
117,52000,0.7647
135,54000,0.7778
155,56000,0.8
162,58000,-141.2857
183,60000,0.8095
206,62000,0.7826
215,64000,0.8889
257,66000,0.8333
288,68000,0.9032
346,70000,0.8621
390,72000,0.8182
451,74000,0.8852
518,76000,0.8507
592,78000,0.8649
659,80000,0.9254
752,82000,0.871
844,84000,0.9565
953,86000,0.9541
1061,88000,0.9722
1178,90000,0.906
1287,92000,0.9358
1418,94000,0.9695
1548,96000,0.9538
1684,98000,0.9853
1824,100000,0.9929
1971,102000,0.9796
2118,104000,0.9796
2266,106000,0.9932
2414,108000,0.9662
2563,110000,0.9732
2713,112000,0.98
2863,114000,0.9933
3015,116000,0.9934
3170,118000,0.5419
3329,120000,0.2453
3481,122000,0.9868
3633,124000,0.9803
3786,126000,0.9869
3937,128000,0.9868
4090,130000,1.0
4242,132000,0.9868
4396,134000,0.9805
4549,136000,1.0
4703,138000,0.9156
4856,140000,0.9673
5005,142000,0.9597
5081,144000,-12.1974
5234,146000,0.9804
5384,148000,0.9467
5532,150000,0.9932
5680,152000,1.0
5833,154000,0.9869
5986,156000,1.0
6139,158000,0.9869
6293,160000,1.0
6444,162000,0.9868
6597,164000,0.9935
6750,166000,0.9804
6903,168000,0.9935
7056,170000,0.9739
7209,172000,1.0
7361,174000,0.9868
7513,176000,1.0
7665,178000,0.9803
7818,180000,1.0
7971,182000,1.0
8125,184000,0.9935
8279,186000,1.0
8432,188000,1.0
8586,190000,0.9935
8739,192000,0.9804
8893,194000,1.0
9047,196000,0.9935
9125,198000,-11.9487
9279,200000,0.9416
9433,202000,1.0
9586,204000,1.0
9635,206000,-22.1224
9694,208000,-18.0508
