episode,timestep,reward
1,2000,-1000.0
3,4000,-1000.0
5,6000,-1000.0
7,8000,-1000.0
9,10000,-1000.0
11,12000,-1000.0
13,14000,-1000.0
15,16000,-1000.0
17,18000,-1000.0
19,20000,-1000.0
21,22000,-1000.0
23,24000,-1000.0
25,26000,-1000.0
27,28000,-1000.0
29,30000,-1000.0
31,32000,-1000.0
33,34000,-1000.0
35,36000,-1000.0
37,38000,-1000.0
39,40000,-1000.0
41,42000,-1000.0
43,44000,-1000.0
45,46000,-1000.0
47,48000,-1000.0
49,50000,-1000.0
51,52000,-1000.0
53,54000,-1000.0
55,56000,-1000.0
57,58000,-1000.0
59,60000,-1000.0
61,62000,-1000.0
63,64000,-1000.0
65,66000,-1000.0
67,68000,-1000.0
69,70000,-1000.0
71,72000,-1000.0
73,74000,-1000.0
75,76000,-1000.0
77,78000,-1000.0
79,80000,-1000.0
81,82000,-1000.0
83,84000,-1000.0
85,86000,-1000.0
87,88000,-1000.0
89,90000,-1000.0
91,92000,-1000.0
93,94000,-1000.0
95,96000,-1000.0
97,98000,-1000.0
99,100000,-1000.0
101,102000,-1000.0
103,104000,-1000.0
105,106000,-1000.0
107,108000,-1000.0
109,110000,-1000.0
111,112000,-1000.0
113,114000,-1000.0
115,116000,-1000.0
117,118000,-1000.0
119,120000,-1000.0
121,122000,-1000.0
123,124000,-1000.0
125,126000,-1000.0
127,128000,-1000.0
129,130000,-1000.0
131,132000,-1000.0
133,134000,-1000.0
135,136000,-1000.0
137,138000,-1000.0
139,140000,-1000.0
141,142000,-1000.0
143,144000,-1000.0
145,146000,-1000.0
147,148000,-1000.0
149,150000,-1000.0
151,152000,-1000.0
153,154000,-1000.0
155,156000,-1000.0
157,158000,-1000.0
159,160000,-1000.0
161,162000,-1000.0
163,164000,-1000.0
165,166000,-1000.0
167,168000,-1000.0
169,170000,-1000.0
171,172000,-1000.0
173,174000,-1000.0
175,176000,-1000.0
177,178000,-1000.0
179,180000,-1000.0
181,182000,-1000.0
183,184000,-1000.0
185,186000,-1000.0
187,188000,-1000.0
189,190000,-1000.0
191,192000,-1000.0
193,194000,-1000.0
195,196000,-1000.0
197,198000,-1000.0
199,200000,-1000.0
201,202000,-1000.0
203,204000,-1000.0
205,206000,-1000.0
207,208000,-1000.0
209,210000,-1000.0
211,212000,-1000.0
213,214000,-1000.0
215,216000,-1000.0
217,218000,-1000.0
219,220000,-1000.0
221,222000,-1000.0
223,224000,-1000.0
225,226000,-1000.0
227,228000,-1000.0
229,230000,-1000.0
231,232000,-1000.0
233,234000,-1000.0
235,236000,-1000.0
237,238000,-1000.0
239,240000,-1000.0
241,242000,-1000.0
243,244000,-1000.0
245,246000,-1000.0
247,248000,-1000.0
249,250000,-1000.0
251,252000,-1000.0
253,254000,-1000.0
255,256000,-1000.0
257,258000,-1000.0
259,260000,-1000.0
261,262000,-1000.0
263,264000,-1000.0
265,266000,-1000.0
267,268000,-1000.0
269,270000,-1000.0
271,272000,-1000.0
273,274000,-1000.0
275,276000,-1000.0
277,278000,-1000.0
279,280000,-1000.0
281,282000,-1000.0
283,284000,-1000.0
285,286000,-1000.0
287,288000,-1000.0
289,290000,-1000.0
291,292000,-1000.0
293,294000,-1000.0
295,296000,-1000.0
297,298000,-1000.0
299,300000,-1000.0
301,302000,-1000.0
303,304000,-1000.0
305,306000,-1000.0
307,308000,-1000.0
309,310000,-1000.0
