episode,timestep,reward
647,636000,-882.0
649,638000,-991.0
651,640000,-1000.0
653,642000,-970.0
655,644000,-932.5
657,646000,-905.0
659,648000,-969.5
661,650000,-969.5
663,652000,-976.0
666,654000,-659.0
668,656000,-939.0
670,658000,-978.0
672,660000,-984.0
674,662000,-970.0
676,664000,-983.0
678,666000,-979.5
681,668000,-648.0
684,670000,-648.6667
686,672000,-961.0
688,674000,-957.5
690,676000,-973.0
692,678000,-986.5
694,680000,-987.5
696,682000,-975.0
699,684000,-648.3333
701,686000,-994.0
703,688000,-984.0
705,690000,-923.5
707,692000,-973.5
710,694000,-645.3333
712,696000,-971.5
714,698000,-971.5
716,700000,-957.0
718,702000,-979.0
720,704000,-974.5
722,706000,-957.0
724,708000,-951.5
726,710000,-978.0
728,712000,-965.0
730,714000,-978.5
732,716000,-979.5
734,718000,-994.0
736,720000,-973.5
740,722000,-481.25
742,724000,-985.0
744,726000,-998.0
746,728000,-986.0
748,730000,-986.5
750,732000,-979.0
753,734000,-654.0
755,736000,-989.0
758,738000,-656.3333
760,740000,-991.0
762,742000,-987.0
764,744000,-972.5
766,746000,-974.5
768,748000,-990.5
770,750000,-976.0
772,752000,-987.0
774,754000,-971.0
776,756000,-985.0
778,758000,-977.5
780,760000,-998.0
782,762000,-991.5
784,764000,-998.0
786,766000,-977.5
788,768000,-987.0
790,770000,-999.0
792,772000,-975.5
794,774000,-993.0
797,776000,-671.0
799,778000,-977.0
801,780000,-993.5
804,782000,-664.6667
806,784000,-971.0
808,786000,-974.5
810,788000,-991.0
812,790000,-986.5
814,792000,-994.0
816,794000,-987.5
818,796000,-1000.0
820,798000,-1000.0
822,800000,-999.0
824,802000,-998.5
826,804000,-996.0
828,806000,-999.5
830,808000,-997.0
832,810000,-999.0
834,812000,-990.0
836,814000,-998.5
838,816000,-984.0
840,818000,-993.5
842,820000,-1000.0
844,822000,-1000.0
846,824000,-998.0
848,826000,-983.0
850,828000,-1000.0
852,830000,-996.5
854,832000,-1000.0
856,834000,-994.0
858,836000,-1000.0
860,838000,-1000.0
862,840000,-998.5
864,842000,-996.0
866,844000,-998.0
868,846000,-999.0
870,848000,-995.0
872,850000,-982.0
874,852000,-1000.0
876,854000,-1000.0
878,856000,-999.0
880,858000,-985.5
882,860000,-991.5
884,862000,-1000.0
886,864000,-998.5
888,866000,-992.5
890,868000,-991.5
892,870000,-993.5
894,872000,-992.5
896,874000,-998.5
898,876000,-982.0
900,878000,-999.5
902,880000,-980.0
904,882000,-982.5
906,884000,-989.5
908,886000,-999.5
910,888000,-998.5
912,890000,-995.5
914,892000,-990.0
916,894000,-983.0
918,896000,-999.0
920,898000,-997.0
922,900000,-998.0
924,902000,-999.0
926,904000,-987.0
928,906000,-998.5
930,908000,-1000.0
932,910000,-985.0
934,912000,-992.5
936,914000,-1000.0
938,916000,-999.5
940,918000,-996.5
942,920000,-993.5
944,922000,-975.5
946,924000,-994.5
948,926000,-982.0
950,928000,-979.5
952,930000,-999.5
955,932000,-666.3333
957,934000,-996.0
959,936000,-1000.0
961,938000,-982.0
963,940000,-999.5
965,942000,-992.5
967,944000,-998.5
969,946000,-999.0
971,948000,-980.5
973,950000,-993.5
975,952000,-997.5
977,954000,-998.5
979,956000,-995.0
981,958000,-978.5
983,960000,-998.0
985,962000,-993.0
987,964000,-997.5
989,966000,-1000.0
991,968000,-999.0
993,970000,-999.0
995,972000,-998.5
997,974000,-989.0
999,976000,-996.0
1001,978000,-1000.0
1003,980000,-995.0
1005,982000,-995.5
1007,984000,-994.0
1009,986000,-992.5
1011,988000,-1000.0
1013,990000,-999.5
1015,992000,-995.0
1017,994000,-998.5
1019,996000,-997.5
1021,998000,-974.5
1023,1000000,-998.5
1025,1002000,-992.5
1027,1004000,-993.5
1029,1006000,-999.0
1031,1008000,-1000.0
1033,1010000,-998.0
1035,1012000,-1000.0
1037,1014000,-999.0
1039,1016000,-918.0
1041,1018000,-982.5
1043,1020000,-996.5
1045,1022000,-996.5
1047,1024000,-998.5
1049,1026000,-951.0
1051,1028000,-966.5
1053,1030000,-998.5
1055,1032000,-951.5
1057,1034000,-993.5
1059,1036000,-969.5
1061,1038000,-970.5
1063,1040000,-945.0
1065,1042000,-920.0
1067,1044000,-919.0
1069,1046000,-987.5
1071,1048000,-999.0
1073,1050000,-966.5
1075,1052000,-937.0
1078,1054000,-657.0
1080,1056000,-952.0
1082,1058000,-996.5
1084,1060000,-991.0
1086,1062000,-976.0
1088,1064000,-981.0
1090,1066000,-980.0
1092,1068000,-995.5
1094,1070000,-938.0
1096,1072000,-996.0
1098,1074000,-969.0
1100,1076000,-979.5
1102,1078000,-901.0
1104,1080000,-988.5
1106,1082000,-853.5
1108,1084000,-943.5
1110,1086000,-996.0
1112,1088000,-824.0
1114,1090000,-925.5
1116,1092000,-962.5
1118,1094000,-508.0
1120,1096000,-965.5
1122,1098000,-902.0
1124,1100000,-1000.0
1126,1102000,-979.0
1128,1104000,-924.0
1130,1106000,-986.5
1132,1108000,-965.0
1134,1110000,-963.5
1136,1112000,-860.5
1138,1114000,-989.0
1140,1116000,-999.0
1142,1118000,-998.0
1144,1120000,-997.5
1146,1122000,-910.0
1148,1124000,-935.5
1150,1126000,-995.0
1152,1128000,-1000.0
1154,1130000,-958.0
1156,1132000,-995.5
1158,1134000,-998.0
1160,1136000,-959.0
1162,1138000,-891.0
1164,1140000,-968.5
1166,1142000,-974.5
1168,1144000,-998.0
1170,1146000,-948.0
1172,1148000,-995.5
1174,1150000,-992.5
1176,1152000,-942.0
1178,1154000,-994.5
1180,1156000,-960.5
1182,1158000,-922.5
1184,1160000,-803.5
1186,1162000,-978.0
1188,1164000,-966.0
1190,1166000,-586.0
1192,1168000,-959.5
1194,1170000,-901.0
1196,1172000,-941.0
