episode,timestep,reward
1,2000,-1.0
3,4000,-0.5
5,6000,-0.5
7,8000,0.0
9,10000,-0.5
11,12000,-0.5
13,14000,-0.5
15,16000,0.0
17,18000,0.0
19,20000,-291.5
21,22000,-749.5
23,24000,-421.5
25,26000,-1.5
27,28000,-0.5
29,30000,-311.5
31,32000,-474.5
33,34000,-425.5
35,36000,-288.5
37,38000,-424.5
39,40000,-218.5
43,42000,-94.5
45,44000,-319.5
47,46000,-2.0
49,48000,-3.5
51,50000,-431.0
53,52000,-439.5
55,54000,-286.5
57,56000,-701.0
59,58000,0.0
61,60000,-226.5
63,62000,-107.5
65,64000,-50.5
67,66000,-4.0
69,68000,-5.5
71,70000,-3.5
73,72000,-279.5
75,74000,-5.5
77,76000,-2.0
79,78000,-2.5
81,80000,-2.0
83,82000,-0.5
85,84000,-258.5
87,86000,-1.5
89,88000,-2.0
91,90000,-352.0
93,92000,-6.5
95,94000,-5.5
97,96000,-309.0
99,98000,-9.0
101,100000,-6.0
103,102000,-7.5
105,104000,-6.0
107,106000,-2.5
109,108000,-4.5
111,110000,-500.5
113,112000,-500.0
115,114000,-5.0
117,116000,-3.5
119,118000,-502.0
121,120000,-795.5
123,122000,-557.0
126,124000,-2.6667
130,126000,-499.5
133,128000,-53.0
135,130000,-1000.0
137,132000,-753.0
142,134000,-116.0
144,136000,-368.0
146,138000,-803.5
148,140000,-314.5
150,142000,-4.0
152,144000,-8.0
154,146000,-3.5
156,148000,-782.5
158,150000,-315.0
160,152000,-6.0
162,154000,-97.5
164,156000,-26.0
166,158000,-83.0
169,160000,-5.0
171,162000,-505.5
173,164000,-445.5
175,166000,-457.5
177,168000,-472.5
180,170000,-7.6667
182,172000,-17.0
184,174000,-8.5
186,176000,-502.0
188,178000,-502.5
192,180000,-3.0
194,182000,-2.5
197,184000,-203.3333
200,186000,-333.6667
203,188000,-336.6667
206,190000,-290.6667
209,192000,-329.0
211,194000,-300.0
213,196000,-369.0
215,198000,-886.5
217,200000,-24.5
219,202000,-35.5
221,204000,-511.5
224,206000,-185.0
226,208000,-30.5
228,210000,-511.0
230,212000,-26.0
232,214000,-33.5
234,216000,-25.0
236,218000,-498.5
238,220000,-39.5
240,222000,-29.0
242,224000,-33.0
244,226000,-338.0
246,228000,-18.5
248,230000,-496.5
250,232000,-13.0
252,234000,-13.0
254,236000,-5.0
256,238000,-10.0
258,240000,-7.0
260,242000,-7.5
262,244000,-6.0
264,246000,-42.0
266,248000,-500.5
268,250000,-3.5
270,252000,-500.5
272,254000,-330.5
274,256000,-2.5
276,258000,-175.5
278,260000,-501.5
280,262000,-502.0
282,264000,-3.5
284,266000,-34.0
286,268000,-9.0
288,270000,-15.5
290,272000,-12.0
293,274000,-2.6667
296,276000,-201.6667
298,278000,-730.0
300,280000,-13.5
302,282000,-10.0
304,284000,-17.0
306,286000,-506.0
308,288000,-904.0
310,290000,-18.0
312,292000,-11.0
314,294000,-599.5
316,296000,-6.5
318,298000,-837.5
321,300000,-269.6667
323,302000,-406.0
325,304000,-448.5
327,306000,-9.5
330,308000,-239.0
332,310000,-14.0
334,312000,-93.5
336,314000,-469.5
338,316000,-10.0
340,318000,-15.0
342,320000,-353.0
344,322000,-24.5
346,324000,-514.5
348,326000,-32.0
350,328000,-261.0
352,330000,-24.5
354,332000,-205.5
358,334000,-9.5
360,336000,-18.5
362,338000,-826.5
364,340000,-264.0
366,342000,-6.0
368,344000,-183.0
370,346000,-55.0
372,348000,-200.0
374,350000,-257.5
376,352000,-6.5
378,354000,-504.0
380,356000,-6.0
383,358000,-20.6667
385,360000,-502.5
387,362000,-47.5
389,364000,-461.5
391,366000,-3.0
393,368000,-431.0
395,370000,-6.5
397,372000,-7.0
399,374000,-3.5
401,376000,-6.5
403,378000,-4.5
405,380000,-5.5
407,382000,-1.5
409,384000,-5.0
411,386000,-3.5
413,388000,-4.0
415,390000,-4.5
417,392000,-1.5
419,394000,-2.0
421,396000,-1.5
423,398000,-1.0
425,400000,-2.5
427,402000,-405.0
430,404000,-0.3333
432,406000,-228.0
434,408000,-1.0
436,410000,-3.0
438,412000,-260.0
440,414000,-3.0
442,416000,-2.0
444,418000,-2.5
446,420000,-2.0
448,422000,-2.5
450,424000,-285.5
452,426000,-3.0
454,428000,-0.5
456,430000,-0.5
458,432000,-365.5
460,434000,-2.5
462,436000,-2.5
464,438000,-1.5
466,440000,0.0
468,442000,-1.5
470,444000,0.0
472,446000,-500.0
474,448000,-17.5
476,450000,-1.5
478,452000,-0.5
480,454000,-1.0
482,456000,-0.5
484,458000,0.0
486,460000,-0.5
488,462000,-0.5
490,464000,-0.5
492,466000,-1.0
494,468000,-177.0
496,470000,-0.5
498,472000,-1.0
500,474000,-298.5
502,476000,-311.5
504,478000,0.0
506,480000,-1.5
508,482000,-906.0
510,484000,-796.0
512,486000,-725.5
514,488000,-650.5
516,490000,0.0
518,492000,-293.5
520,494000,-456.5
522,496000,-6.0
524,498000,-188.5
526,500000,-4.0
528,502000,-558.5
530,504000,-332.5
532,506000,-8.5
534,508000,-13.5
536,510000,-474.0
538,512000,-8.0
540,514000,-458.0
542,516000,-289.5
544,518000,-691.5
546,520000,-851.5
548,522000,-591.5
550,524000,-194.0
552,526000,-475.5
554,528000,-493.5
556,530000,-428.5
558,532000,-250.5
560,534000,-164.5
562,536000,-209.0
564,538000,-116.0
566,540000,-132.0
568,542000,-69.0
570,544000,-55.0
572,546000,-30.0
574,548000,-30.5
576,550000,-15.5
578,552000,-12.5
580,554000,-9.5
582,556000,-406.5
584,558000,-4.0
586,560000,-8.5
588,562000,-419.5
590,564000,-302.0
592,566000,-4.0
594,568000,-323.5
596,570000,-6.0
598,572000,-3.0
600,574000,-4.5
602,576000,-273.5
604,578000,-1.5
606,580000,-833.5
608,582000,-2.0
610,584000,-3.0
612,586000,-3.5
614,588000,-2.5
616,590000,-500.5
618,592000,-2.0
620,594000,-3.0
622,596000,-0.5
624,598000,-2.0
626,600000,-2.5
628,602000,-3.0
630,604000,-405.5
632,606000,-4.0
634,608000,-1.0
636,610000,-435.5
638,612000,-11.5
640,614000,-618.5
642,616000,-294.5
645,618000,0.3333
647,620000,-353.0
649,622000,-376.0
652,624000,-0.3333
654,626000,-3.0
656,628000,-484.0
658,630000,-3.0
660,632000,-0.5
664,634000,-201.0
666,636000,-842.5
668,638000,-395.5
670,640000,-1.5
673,642000,-557.6667
676,644000,-349.0
679,646000,-2.0
682,648000,-65.0
684,650000,-438.0
687,652000,-655.3333
689,654000,-295.0
691,656000,-4.5
693,658000,-2.5
695,660000,-6.0
698,662000,-0.6667
700,664000,-756.0
702,666000,-6.5
704,668000,-2.0
707,670000,-270.6667
711,672000,-243.75
713,674000,-343.0
715,676000,-3.0
717,678000,-75.5
720,680000,-167.3333
722,682000,-280.5
724,684000,-4.0
726,686000,-61.0
728,688000,-5.5
730,690000,-4.5
732,692000,-6.5
734,694000,-7.0
736,696000,-5.5
738,698000,-6.0
740,700000,-4.0
742,702000,-3.0
744,704000,-243.5
746,706000,-2.5
748,708000,-4.5
750,710000,-1.5
752,712000,-83.5
754,714000,-2.5
756,716000,-2.5
758,718000,-2.5
760,720000,-1.5
762,722000,-1.5
764,724000,-1.5
766,726000,-260.0
768,728000,-1.0
770,730000,-3.0
772,732000,-2.5
774,734000,-0.5
776,736000,-1.0
778,738000,-2.0
780,740000,-1.0
782,742000,-1.0
784,744000,-185.5
786,746000,-1.0
788,748000,-1.0
790,750000,-0.5
792,752000,-1.5
794,754000,-0.5
796,756000,-1.0
798,758000,-1.0
800,760000,-1.5
802,762000,-0.5
804,764000,-3.0
806,766000,-0.5
808,768000,-0.5
810,770000,-0.5
812,772000,0.0
814,774000,0.0
816,776000,-1.5
818,778000,-0.5
820,780000,-0.5
822,782000,-1.0
824,784000,0.0
826,786000,-255.0
828,788000,-0.5
830,790000,-0.5
832,792000,-259.0
834,794000,-1.0
836,796000,-0.5
838,798000,0.0
840,800000,0.0
842,802000,0.0
844,804000,-0.5
846,806000,-382.5
848,808000,-0.5
850,810000,-1.0
852,812000,-443.0
855,814000,-38.3333
857,816000,-498.5
859,818000,-1.0
861,820000,0.0
863,822000,-1.0
865,824000,-1.0
867,826000,0.0
869,828000,-2.0
871,830000,0.0
873,832000,-228.5
875,834000,-0.5
877,836000,-1.0
879,838000,-302.5
881,840000,-1.0
883,842000,-1.0
885,844000,-0.5
887,846000,-3.0
889,848000,-914.0
891,850000,-494.5
893,852000,-3.5
895,854000,-704.5
897,856000,-908.5
899,858000,-866.0
901,860000,-868.0
903,862000,-482.0
905,864000,-3.0
907,866000,-5.5
909,868000,-238.5
911,870000,-283.5
913,872000,-6.0
916,874000,-6.6667
918,876000,-12.5
920,878000,-82.5
922,880000,-8.0
924,882000,-4.0
927,884000,-3.0
929,886000,-385.0
931,888000,-1.0
933,890000,-375.0
935,892000,-1.5
941,894000,-0.1667
943,896000,-247.5
947,898000,-396.5
949,900000,-418.5
952,902000,-366.3333
954,904000,-470.0
956,906000,-776.0
958,908000,-52.5
962,910000,-217.75
964,912000,-799.0
966,914000,-950.5
968,916000,-454.0
970,918000,-656.0
972,920000,-24.0
974,922000,-321.0
976,924000,-655.5
978,926000,-4.0
982,928000,-1.75
984,930000,-56.0
987,932000,-3.3333
989,934000,-435.5
991,936000,-230.0
993,938000,-523.0
996,940000,0.0
998,942000,-5.0
1000,944000,-12.0
1002,946000,-13.5
1004,948000,-393.5
1006,950000,-6.5
1008,952000,-10.5
1011,954000,-195.3333
1013,956000,-2.5
1016,958000,-268.0
1018,960000,-0.5
1020,962000,-4.0
1022,964000,-3.5
1027,966000,-158.8
1030,968000,-173.3333
1035,970000,-160.0
1037,972000,-154.5
1040,974000,-318.3333
1044,976000,-182.0
1050,978000,-152.6667
1055,980000,-191.0
1057,982000,-923.0
1061,984000,-384.5
1065,986000,-463.5
1067,988000,-442.5
1071,990000,-436.25
