episode,timestep,reward
1,2000,-420.0
3,4000,-409.0
5,6000,-362.5
7,8000,-326.5
9,10000,-293.0
11,12000,-259.0
13,14000,-228.0
15,16000,-209.5
17,18000,-194.5
19,20000,-162.0
21,22000,-143.5
23,24000,-128.5
25,26000,-132.0
27,28000,-103.0
29,30000,-91.5
31,32000,-78.5
33,34000,-77.5
35,36000,-60.0
37,38000,-67.0
39,40000,-48.5
41,42000,-53.0
43,44000,-45.0
45,46000,-37.5
47,48000,-36.5
49,50000,-30.0
51,52000,-28.5
53,54000,-24.5
55,56000,-21.5
57,58000,-17.5
59,60000,-14.0
61,62000,-12.0
63,64000,-11.0
65,66000,-9.5
67,68000,-9.5
69,70000,-8.5
71,72000,-6.5
73,74000,-3.0
75,76000,-2.0
77,78000,-2.5
79,80000,-2.0
81,82000,-2.5
83,84000,-0.5
85,86000,-2.0
87,88000,0.0
89,90000,-1.0
91,92000,-1.0
93,94000,-0.5
95,96000,0.0
97,98000,0.0
99,100000,0.0
101,102000,-0.5
103,104000,-0.5
105,106000,-0.5
107,108000,-0.5
109,110000,0.0
111,112000,0.0
113,114000,-0.5
115,116000,-0.5
117,118000,0.0
119,120000,0.0
121,122000,0.0
123,124000,0.0
125,126000,0.0
127,128000,0.0
129,130000,0.0
131,132000,-0.5
133,134000,-0.5
135,136000,0.0
137,138000,0.0
139,140000,-0.5
141,142000,0.0
143,144000,0.0
145,146000,-0.5
147,148000,0.0
149,150000,0.0
151,152000,0.0
153,154000,0.0
155,156000,0.0
157,158000,0.0
159,160000,0.0
161,162000,0.0
163,164000,0.0
165,166000,0.0
167,168000,0.0
169,170000,0.0
171,172000,0.0
173,174000,0.0
175,176000,0.0
177,178000,0.0
179,180000,0.0
181,182000,0.0
183,184000,0.0
185,186000,-0.5
187,188000,0.0
189,190000,-0.5
191,192000,0.0
193,194000,0.0
195,196000,0.0
197,198000,0.0
199,200000,0.0
201,202000,0.0
203,204000,0.0
205,206000,0.0
207,208000,0.0
209,210000,0.0
